question,option_a,option_b,option_c,option_d,correct_answer,question_type,year,page
"11. The discovery of the circulation of blood, which fundamentally altered the understanding of human physiology, is credited to:",Galen,Andreas Vesalius,Hippocrates,William Harvey,D,multiple_choice,1987,521
12. Smallpox and measles are both highly contagious diseases caused by:,Bacteria,Fungi,Viruses,Protozoa,C,multiple_choice,1987,522
13. A deficiency of Vitamin C in the human diet can lead to a disease called:,Rickets,Beriberi,Scurvy,Night blindness,C,multiple_choice,1987,522
14. Which planet in our solar system has the shortest orbital period around the Sun?,Venus,Earth,Mercury,Mars,C,multiple_choice,1987,522
"15. In 1975, the Apollo and Soyuz spacecrafts docked with each other in space, marking a moment of collaboration between which two nations?",USA and China,USA and USSR (Soviet Union),USSR and Japan,USA and Great Britain,B,multiple_choice,1987,523
16. The first reliable and practical mercury thermometer was invented by:,Galileo Galilei,Anders Celsius,Daniel Gabriel Fahrenheit,Lord Kelvin,C,multiple_choice,1987,523
17. Who is credited with inventing and successfully demonstrating the first system of wireless telegraphy?,Heinrich Hertz,Guglielmo Marconi,Nikola Tesla,Jagadish Chandra Bose,B,multiple_choice,1987,524
18. A seismometer is an instrument designed to detect and record:,The pressure of the atmosphere,The strength of a magnetic field,The vibrations caused by earthquakes,The depth of the ocean,C,multiple_choice,1987,524
19. Impaired blood clotting and an increased risk of hemorrhaging are clinical signs of a severe deficiency in:,Vitamin C,Vitamin D,Iron,Vitamin K,D,multiple_choice,1987,524
20. Diabetes mellitus is a metabolic disorder characterized by high blood sugar levels resulting from a deficiency or ineffective use of:,Thyroxine,Adrenaline,Insulin,Glucagon,C,multiple_choice,1987,525
21. What was the major scientific contribution of Gregor Mendel?,The discovery of the DNA double helix structure,The formulation of the laws of heredity and genetics,The invention of the process of pasteurization,The development of the theory of evolution by natural selection,B,multiple_choice,1987,525
22. The age of a tree can be determined most accurately by:,Measuring its height,Counting the number of its leaves,Counting the annual growth rings in its trunk,Analyzing the thickness of its bark,C,multiple_choice,1987,526
23. What is the primary function of the roots of a plant?,To perform photosynthesis,To produce flowers and fruits,To absorb water and mineral salts from the soil,To facilitate gas exchange with the atmosphere,C,multiple_choice,1987,526
"24. The invention of the ""Laufmaschine"" or ""running machine"", considered the forerunner of the modern bicycle, is attributed to:",Gottlieb Daimler,Karl von Drais,James Starley,Leonardo da Vinci,B,multiple_choice,1987,526
25. Leukemia is a type of cancer characterized by the abnormal and uncontrolled proliferation of:,Red blood cells,Platelets,White blood cells,Plasma cells,C,multiple_choice,1987,527
"26. The invention of wireless telegraphy, the precursor to modern radio, is credited to:",Alexander Graham Bell,Thomas Edison,Guglielmo Marconi,Michael Faraday,C,multiple_choice,1987,527
27. The swim bladder is a gas-filled organ that helps control buoyancy and is found in most:,Amphibians,Reptiles,Bony fish,Mammals,C,multiple_choice,1987,527
28. A prolonged dietary deficiency of Iodine typically leads to which medical condition?,Anemia,Scurvy,Goiter,Rickets,C,multiple_choice,1987,528
"29. The disease Beriberi, which affects the nervous and cardiovascular systems, is caused by a severe deficiency of:",Vitamin B1,Vitamin B12,Niacin,Vitamin C,A,multiple_choice,1987,528
30. A lactometer is a specific type of hydrometer used to measure the:,Acidity of milk,Fat content of milk,Density (and thus purity) of milk,Amount of bacteria in milk,C,multiple_choice,1987,529
31. Which of the following is classified as a terrestrial planet?,Jupiter,Saturn,Mars,Neptune,C,multiple_choice,1987,529
32. A cancer characterized by a large increase in the number of abnormal white blood cells is known as:,Anemia,Leukemia,Hemophilia,Sclerosis,B,multiple_choice,1987,529
33. An amalgam is a special type of alloy that always contains the metal:,Gold,Iron,Copper,Mercury,D,multiple_choice,1987,530
34. What is the primary reason for matching blood groups before a blood transfusion?,To ensure the blood temperatures are compatible,To prevent the recipient's immune system from attacking the donor's red blood cells,To check for viral diseases like hepatitis,To make sure the blood pressure of the donor and recipient are similar,B,multiple_choice,1987,530
35. The process of pasteurization is used to:,Kill harmful microorganisms in liquids like milk by heating,Increase the nutritional value of food,Ferment sugar into alcohol using yeast,Separate cream from milk,A,multiple_choice,1987,531
36. The patent for the first practical telephone was granted to which inventor in 1876?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Elisha Gray,C,multiple_choice,1987,531
The technology commonly employed in retail barcode scanners to read product information is based on:,Magnetic resonance,Ultrasonic waves,Laser beams,X-ray fluorescence,C,multiple_choice,1986,532
The invention of the Phonograph is credited to:,Alexander Graham Bell,Thomas Edison,John Baird,Watson and Crick,B,multiple_choice,1986,532
The Arab scholar Ibn al-Haytham (Alhazen) is regarded as a pivotal figure in the history of which field?,Chemistry,Medicine,Optics,Algebra,C,multiple_choice,1986,533
Who is credited with the discovery that living organisms are composed of fundamental units called cells?,Antonie van Leeuwenhoek,Robert Hooke,Theodor Schwann,Rudolf Virchow,B,multiple_choice,1986,533
Which famous scientist is credited with the invention of the Telephone?,Thomas Edison,Robert Hooke,Graham Bell,John Baird,C,multiple_choice,1986,534
"The enzyme Amylase, found in human saliva and the pancreas, initiates the digestion of:",Proteins,Lipids (Fats),Carbohydrates (Starch),Nucleic Acids,C,multiple_choice,1986,534
"The deficiency of which mineral is the primary cause of Goiter, a swelling of the thyroid gland in the neck?",Iron,Fluorine,Calcium,Iodine,D,multiple_choice,1986,534
"Robert Hooke, a 17th-century scientist, is famous for his microscopic observations and for coining which biological term?",Atom,Molecule,Cell,Gene,C,multiple_choice,1986,535
10. The Pascal (Pa) is the standard international (SI) unit for measuring which physical quantity?,Force,Energy,Pressure,Power,C,multiple_choice,1986,535
11. The Contact Process is the modern industrial method used for the large-scale production of:,Ammonia,Nitric Acid,Chlorine,Sulfuric Acid,D,multiple_choice,1986,535
"12. Rickets, a condition that causes weak and soft bones in children, is due to a deficiency of which vitamin?",Vitamin A,Vitamin B,Vitamin C,Vitamin D,D,multiple_choice,1986,536
13. Sound waves that have a frequency higher than the upper limit of human hearing are known as:,Infrasonic waves,Subsonic waves,Ultrasonic waves,Supersonic waves,C,multiple_choice,1986,536
14. Ringworm is a common skin infection caused by which type of microorganism?,Bacterium,Virus,Fungus,"Protozoan essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",C,multiple_choice,1986,537
15. The Electronvolt (eV) is a specialized unit of energy commonly used in the field of:,Thermodynamics,Electromagnetism,Atomic and Particle Physics,Classical Mechanics,C,multiple_choice,1986,539
16. What is the standard SI unit used for measuring electric current?,Volt,Watt,Ampere,Ohm,C,multiple_choice,1986,539
17. What is the SI unit for measuring Pressure?,Newton,Joule,Kelvin,Pascal,D,multiple_choice,1986,539
18. The double-helix structure of the DNA molecule was first described by which pair of scientists?,Schleiden and Schwann,Hershey and Chase,Watson and Crick,Jacob and Monod,C,multiple_choice,1986,540
"19. In the International System of Units (SI), the derived unit for measuring radioactivity is the:",Curie,Sievert,Roentgen,Becquerel,D,multiple_choice,1986,540
"20. The functional filtration units within the human kidney, responsible for removing waste from the blood, are known as:",Alveoli,Villi,Neurons,Nephrons,D,multiple_choice,1986,540
21. The Ampere (A) is the fundamental SI unit used to measure:,Electric Charge,Electric Current,Electrical Resistance,Electric Potential,B,multiple_choice,1986,541
22. The concept of the atomic number as the definitive ordering principle of elements in the periodic table was established by:,Dmitri Mendeleev,Lothar Meyer,Henry Moseley,Ernest Rutherford,C,multiple_choice,1986,541
23. The common medical condition known as a Heart Attack is typically caused by:,A hole in the heart wall,A blockage of a coronary artery,High blood sugar,A bacterial infection,B,multiple_choice,1986,542
"24. The enzyme Pepsin, secreted by the human body, is primarily responsible for the digestion of what?",Fats,Starches,Proteins,Sugars,C,multiple_choice,1986,542
25. The process in a nuclear reactor where a heavy atomic nucleus splits into smaller parts is known as:,Fusion,Chain Reaction,Critical Mass,Fission,D,multiple_choice,1986,542
"26. The deficiency of which vitamin in the human body leads to the disease called Scurvy, characterized by bleeding gums and fatigue?",Vitamin A,Vitamin B,Vitamin D,Vitamin C,D,multiple_choice,1986,543
27. Which of the following is considered an alternative or renewable source of energy?,Natural Gas,Coal,Petroleum,Solar Energy,D,multiple_choice,1986,543
"28. The heliocentric model, which places the Sun at the center of the Solar System, was proposed by whom?",Ibn al-Haytham,Copernicus,Ptolemy,Abu Rehan al-Beruni,B,multiple_choice,1986,544
29. The first successful demonstration of a mechanical television system is attributed to which inventor?,Philo Farnsworth,Vladimir Zworykin,Guglielmo Marconi,John Logie Baird,D,multiple_choice,1986,544
31. Proteins are complex biological polymers composed of fundamental monomer units known as:,Nucleotides,Fatty acids,Monosaccharides,Amino acids,D,multiple_choice,1986,545
32. Which of the following is NOT one of the six most abundant elements that make up 99 percent of the human body?,Oxygen,Carbon,Iron,Hydrogen,C,multiple_choice,1986,545
"33. In physics, what is the SI unit of Force?",Joule,Pascal,Newton,Watt,C,multiple_choice,1986,546
34. Who is credited with inventing Dynamite?,John Baird,Alfred Nobel,Robert Hooke,Al-Khwarizmi,B,multiple_choice,1986,546
"35. In optical fiber communication, information is transmitted using modulated beams of light generated by:",Cathode ray tubes,Klystrons,Lasers,Magnetrons,C,multiple_choice,1986,546
"If the resultant of all forces acting on a body is zero, the body is said to be in a state of:",Motion,High energy,Acceleration,Equilibrium,D,multiple_choice,1985,548
What is 'Dry Ice' in chemical terms?,Frozen Nitrogen,Solid Carbon Monoxide,Solid Carbon Dioxide,Super-cooled Water,C,multiple_choice,1985,548
"The process of heating a liquid to kill harmful bacteria, known as pasteurization, was developed by whom?",Edward Jenner,Louis Pasteur,,,B,true_false,1985,548
"When a bullet penetrates a target, its kinetic energy is primarily converted into which other forms of energy?",Potential and Electrical,Chemical and Nuclear,Heat and Sound,Light and Magnetic,C,multiple_choice,1985,549
The BCG vaccine is administered to provide immunity against which of the following diseases?,Rabies,Tetanus,Tuberculosis,Polio,C,multiple_choice,1985,549
"'Heavy Water', used as a moderator in nuclear reactors, is chemically known as:",Hydrogen Peroxide,Deuterium Oxide,Tritium Oxide,Oxygenated Water,B,multiple_choice,1985,550
The double-helix structure of DNA was famously discovered by which pair of scientists?,Louis Pasteur & Robert Koch,Alexander Fleming & Howard Florey,Watson and Crick,Mendeleev & Meyer,C,multiple_choice,1985,550
Which of the following common substances is a chemical compound?,Oxygen,Sulphur,Tin,Table Salt,D,multiple_choice,1985,550
"The protein Hemoglobin, which is essential for oxygen transport in the blood, is rich in which metallic element?",Magnesium,Iron,Calcium,Zinc,B,multiple_choice,1985,551
10. Sir Alexander Fleming is credited with the groundbreaking discovery of which substance?,Aspirin,The smallpox vaccine,Penicillin,Chloroform,C,multiple_choice,1985,551
11. A transformer works on the principle of:,Mutual Induction,Self-Induction,Electrostatic Induction,Thermal Emission,A,multiple_choice,1985,551
12. The 'hardness' in river water is primarily caused by the presence of dissolved mineral salts of which elements?,Sodium and Potassium,Iron and Copper,Calcium and Magnesium,Chlorine and Fluorine,C,multiple_choice,1985,552
13. The phenomenon of the separation of white light into its constituent colours (like in a rainbow) is known as:,Diffraction,Dispersion,Reflection,Deviation,B,multiple_choice,1985,552
14. The mechanism by which the balance of Nitrogen is maintained in the atmosphere is called the:,Carbon Cycle,Water Cycle,Nitrogen Cycle,Oxygen Cycle,C,multiple_choice,1985,553
15. What major advantage do detergents have over soaps for cleaning in hard water?,They are more biodegradable,They are cheaper to produce,They are natural products,They do not form scum,D,multiple_choice,1985,553
16. What is the primary function of an electrical transformer?,To store electrical energy,To convert AC to DC,To change voltage levels,To generate electricity,C,multiple_choice,1985,553
17. What is the vector responsible for transmitting the Malaria parasite to humans?,Tsetse fly,Aedes mosquito,Flea,Anopheles mosquito,D,multiple_choice,1985,554
18. The industrial preparation of artificial ghee (vanaspati) involves the hydrogenation of what?,Animal fats,Mineral oils,Sugar cane juice,Vegetable oils,D,multiple_choice,1985,554
19. An alloy that specifically contains mercury mixed with another metal is known as a(n):,Bronze,Steel,Amalgam,Solder,C,multiple_choice,1985,555
20. What is Lightning?,A sonic boom in the clouds,A form of nuclear fusion,A chemical reaction with oxygen,A large-scale electrostatic discharge,D,multiple_choice,1985,555
A polarimeter is a scientific instrument used to measure:,The intensity of light,The rotation of plane-polarized light,The distance to the Earth's poles,The magnetic polarity of a substance,B,multiple_choice,1984,556
Atmospheric pressure is measured using an instrument called a:,Thermometer,Barometer,Lactometer,Ammeter,B,multiple_choice,1984,556
An iron nail floats on mercury but sinks in water because:,Iron is less dense than mercury but more dense than water,Mercury is a metal in liquid form,Iron chemically reacts with water,Water has a higher surface tension than mercury,A,multiple_choice,1984,556
An ammeter is a measuring device used to determine the:,Voltage in a circuit,Resistance of a component,Electric current in a circuit,Electrical power consumed,C,multiple_choice,1984,557
A Wattmeter is an instrument for measuring the:,Electric power,Electric charge,Electric potential (voltage),Sound intensity (in decibels),A,multiple_choice,1984,557
Which of the following is a chemical change?,Lighting of an electric bulb,Melting of ice,Boiling of an egg,Bending an iron rod,C,multiple_choice,1984,557
Which component of blood is primarily responsible for the process of clotting?,Red Blood Cells,White Blood Cells,Plasma,Platelets (Thrombocytes),D,multiple_choice,1984,558
Yeast is used in the baking and brewing industries because of its ability to perform:,Photosynthesis,Fermentation,Respiration,Dehydration,B,multiple_choice,1984,558
"A udometer, also known as a rain gauge, is designed to measure:",The duration of sunshine,The amount of rainfall,The level of underground water,"The humidity of clouds essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",B,multiple_choice,1984,558
10. It is extremely dangerous to burn a charcoal fire in a poorly ventilated room because it produces a large amount of toxic:,Carbon dioxide (CO2),Carbon monoxide (CO),Sulphur dioxide (SO2),Methane (CH4),B,multiple_choice,1984,561
11. The anti-knock quality of petrol (gasoline) is improved by increasing its:,Cetane number,Caloric value,Octane number,Viscosity,C,multiple_choice,1984,561
"12. Genetic information in living organisms is carried by structures called chromosomes, which are primarily composed of:",RNA and proteins,DNA and proteins,Lipids and carbohydrates,Only proteins,B,multiple_choice,1984,561
13. A lactometer is used to determine the:,Purity or density of milk,Level of lactose in the blood,Amount of rainfall,Rotational speed of an engine,A,multiple_choice,1984,562
"14. For safety and independent operation of appliances, electrical circuits in homes are wired in:",Series,Parallel,A grid pattern,A circular loop,B,multiple_choice,1984,562
15. A hygrometer is an instrument used to measure:,Atmospheric pressure,The speed of wind,The purity of milk,The amount of humidity in the air,D,multiple_choice,1984,563
16. The most common use of a thermometer is to measure:,Heat energy,Temperature,Thermal conductivity,Light intensity,B,multiple_choice,1984,563
17. A tachometer is used to measure:,The distance traveled by a vehicle,The acceleration of an object,The rotational speed of an engine or shaft (RPM),The blood pressure of a patient,C,multiple_choice,1984,563
18. A rainbow is formed in the sky after rain due to the:,Reflection of sunlight from the Earth's surface,Scattering of light by dust particles,Dispersion and internal reflection of sunlight by water droplets,Diffraction of light around clouds,C,multiple_choice,1984,564
19. Shortsightedness (myopia) is a common vision defect that can be corrected by using a:,Convex lens,Cylindrical lens,Concave lens,Pinhole,C,multiple_choice,1984,564
20. A tonometer is a medical device specifically used to measure:,Muscle tone and strength,The frequency of a sound tone,Blood pressure,Pressure inside the eye (intraocular pressure),D,multiple_choice,1984,564
Which of the following metals is liquid at standard room temperature and pressure?,Sodium,Gallium,Mercury,Bromine,C,multiple_choice,1983,566
"According to modern classification, which is the smallest planet in our Solar System?",Venus,Mercury,Earth,Mars,B,multiple_choice,1983,566
Blood cells are primarily manufactured in the body by the ______.,Liver,Spleen,Bone marrow,Kidneys,C,multiple_choice,1983,566
A true fruit develops from which part of a flower?,Ovary,Ovule,Thalamus,Petal,A,multiple_choice,1983,567
The lightest of all gases is ______.,Helium,Neon,Hydrogen,Nitrogen,C,multiple_choice,1983,567
The Diesel Engine was invented by ______.,Thomas Edison,Rudolph Diesel,Lee De Forest,Charles H. Town,B,multiple_choice,1983,567
Who is credited with the invention of the radio telephone?,John Logie Baird,Waterman,E. Graham Bell,Bardeen Shockley,C,multiple_choice,1983,568
"Among the following, which metal is the best conductor of electricity?",Copper,Iron,Zinc,Silver,D,multiple_choice,1983,568
Which of the following electromagnetic radiations causes sunburn and sun-tan?,Infrared light,Ultraviolet light,Alpha radiation,Gamma radiation,B,multiple_choice,1983,568
10. The primary principle of a carbon dioxide (CO2) fire extinguisher is to ______.,Cool the fuel below its ignition point,Displace the oxygen supply,Chemically react with the fire,Increase the air pressure around the fire,B,multiple_choice,1983,569
11. A sonic boom is produced when an object ______.,Travels faster than the speed of sound,Explodes with a loud noise,Emits ultrasonic waves,Reaches a very high altitude,A,multiple_choice,1983,569
"12. The invention of the transistor, a key component in modern electronics, is credited to ______.",Lee De Forest,John Logie Baird and Charles H. Town,Waterman and Rudolph Diesel,Bardeen and Shockley,D,multiple_choice,1983,570
13. Ginger is a modified underground ______.,Root,Fruit,Stem (rhizome),Leaf,C,multiple_choice,1983,570
14. Which statement correctly distinguishes a compound from a mixture?,A compound's components can be separated by physical means.,A compound consists of elements that are not chemically bonded.,A compound has a fixed ratio of components by mass.,A mixture has properties that are completely new and different from its components.,C,multiple_choice,1983,570
15. What is the common name for Sodium Bicarbonate?,Washing Soda,Caustic Soda,Baking Soda,Table Salt,C,multiple_choice,1983,571
16. The uncharged particle in an atom is called a(n) ______.,Proton,Electron,Neutron,Positron,C,multiple_choice,1983,571
"17. Hydrophobia, an extreme fear of water, is a characteristic symptom of which disease?",Malaria,Rabies,Smallpox,Tetanus,B,multiple_choice,1983,571
18. The bi-focal lens was invented by ______.,Isaac Newton,Galileo Galilei,Benjamin Franklin,Thomas Edison,C,multiple_choice,1983,572
19. The edible part of a potato plant is a modified ______.,Root,Stem (tuber),Leaf,Fruit,B,multiple_choice,1983,572
20. The scientific principle that explains why ships are able to float on water is known as ______.,Pascal's Principle,Bernoulli's Principle,Newton's Law of Universal Gravitation,Archimedes' Principle,D,multiple_choice,1983,573
Water kept in an earthen pitcher (matka) stays cool due to the physical principle of:,Conduction,Radiation,Condensation,Evaporation causing cooling,D,multiple_choice,1982,574
A person who can see near objects clearly but finds distant objects blurry is suffering from:,Hypermetropia (farsightedness),Myopia (nearsightedness),Astigmatism,Presbyopia,B,multiple_choice,1982,574
Caustic Soda (Sodium Hydroxide) is a strong alkali used extensively in the industrial manufacturing of:,Fertilizers,Plastics,Soap and detergents,Glass,C,multiple_choice,1982,574
RADAR (Radio Detection And Ranging) operates by:,Detecting the heat signatures of objects,Listening for sounds made by distant objects,Transmitting radio waves and analyzing the reflected signals,Using laser beams to measure distance,C,multiple_choice,1982,575
The reddish-brown color of rust on iron objects is due to the formation of:,Iron Sulphide,Iron Carbonate,Hydrated Iron(III) Oxide,Pure Iron powder,C,multiple_choice,1982,575
The atmospheric layer that contains the protective ozone layer and lies just above the troposphere is the:,Mesosphere,Thermosphere,Stratosphere,Exosphere,C,multiple_choice,1982,576
A desert cooler (or evaporative cooler) functions on the principle of:,Compressing air to make it cold,Heat absorption during the evaporation of water,Passing air over a refrigerated coil,A chemical reaction that absorbs ambient heat,B,multiple_choice,1982,576
What is the fundamental difference between weather and climate?,"Weather refers to precipitation, while climate refers to temperature.","Weather is the short-term state of the atmosphere, while climate is the long-term average.","Weather is predictable, whereas climate is completely unpredictable.","Climate affects oceans, while weather only affects land.",B,multiple_choice,1982,577
10. The disease characterized by the rapid and uncontrolled division of abnormal cells in a part of the body is known as:,Allergy,Infection,Cancer,Inflammation,C,multiple_choice,1982,577
"11. A rainbow is formed after rain because millions of water droplets in the air act like tiny prisms, causing the ________ of sunlight.",Reflection and Diffraction,Refraction and Dispersion,Polarization,Absorption,B,multiple_choice,1982,578
"12. Biogas, produced from the anaerobic decomposition of organic waste, is primarily composed of:",Methane,Propane,Butane,Oxygen,A,multiple_choice,1982,578
14. Frederick Banting is renowned for his co-discovery of which crucial hormone used to treat diabetes?,Adrenaline,Thyroxine,Penicillin,Insulin,D,multiple_choice,1982,579
15. A key difference between cast iron and wrought iron is that:,"Wrought iron has a higher carbon content, making it brittle.","Cast iron has a higher carbon content, making it brittle.","Wrought iron is a liquid, while cast iron is a solid.","Cast iron is an alloy of copper, while wrought iron is pure.",B,multiple_choice,1982,579
"16. Human blood groups (A, B, AB, O) are determined by:",The person's diet and lifestyle,The climate in which the person lives,Antigens inherited from their parents,The number of white blood cells in the body,C,multiple_choice,1982,579
"17. The process by which complex, non-diffusible food substances are broken down into simpler, diffusible forms by enzymes is known as:",Respiration,Excretion,Digestion,Peristalsis,C,multiple_choice,1982,580
"18. Why does it take longer to cook food, such as boiling an egg, on a high mountain?","The ambient air is colder, requiring more heat.","The atmospheric pressure is lower, causing water to boil at a temperature below 100°C.",The gravitational pull is weaker.,There is less oxygen available to sustain a hot flame.,B,multiple_choice,1982,580
19. The wave-like muscle contractions that move food through the digestive tract are called:,Osmosis,Peristalsis,Reflex action,"Diffusion essays, written by qualifiers and officers & evaluated by Sir Syed Kazim Ali. Perfect for CSS & PMS aspirants aiming to enhance their writing skills to qualify. Explore Essays",B,multiple_choice,1982,581
20. A virus is a sub-microscopic infectious agent that:,Can be treated with antibiotics,Is a single-celled organism,Replicates only inside the living cells of other organisms,Has its own metabolism,C,multiple_choice,1982,583
"Myopia, or nearsightedness, where distant objects appear blurry, is corrected by using spectacles with:",Convex lenses,Cylindrical lenses,Concave lenses,Bifocal lenses,C,multiple_choice,1981,584
A transformer is a device that can change the voltage of an electric current. It works only with:,Direct Current (DC),Alternating Current (AC),Both AC and DC,Stored static electricity,B,multiple_choice,1981,584
Woollen clothes keep us warm in winter primarily because:,Wool is a source of heat,Wool is a good conductor of heat,"The fibers trap air, which is a poor conductor of heat",Wool reflects the body's heat radiation perfectly,C,multiple_choice,1981,584
Acetic acid is the primary component that gives the characteristic taste and smell to:,Citrus fruits,Vinegar,Sour milk,Ant stings,B,multiple_choice,1981,585
"In an X-ray photograph, bones appear distinct from the surrounding flesh because:",Bones are less dense and allow X-rays to pass through easily,Flesh is denser and absorbs more X-rays,Bones are much denser and absorb more X-rays than flesh,Bones contain metals that reflect X-rays,C,multiple_choice,1981,585
The image of an object viewed by the human eye is formed on the:,Cornea,Optic nerve,Iris,Retina,D,multiple_choice,1981,585
The disease Malaria is caused by a protozoan parasite of the genus:,Trypanosoma,Amoeba,Plasmodium,Leishmania,C,multiple_choice,1981,586
The BCG (Bacillus Calmette-Guérin) vaccine is administered to build immunity against:,Diphtheria,Tuberculosis,Polio,Tetanus,B,multiple_choice,1981,586
"Atherosclerosis, commonly known as ""hardening of the arteries,"" is primarily caused by the buildup of which substance on the artery walls?",Calcium,"Plaque (fats, cholesterol, etc.)",Excess red blood cells,Uric acid,B,multiple_choice,1981,587
10. The fundamental difference between planets and stars is that:,Stars are always larger than planets,"Stars produce their own light through nuclear fusion, while planets reflect light","Planets have moons, while stars do not","Stars are solid, while planets are gaseous",B,multiple_choice,1981,587
"11. The alloy known as ""German Silver"" is a mixture of Copper, Zinc, and Nickel. What percentage of silver does it contain?",10 percent,25 percent,5 percent,0 percent,D,multiple_choice,1981,587
12. The rusting of iron is an electrochemical process that is an example of:,Reduction,Corrosion,Sublimation,Neutralization,B,multiple_choice,1981,588
13. A bomber flying horizontally at a constant speed must release its bomb before it is vertically above the target because of:,The force of gravity,Air resistance slowing the bomb down,The bomb's inertia of motion,The Earth's rotation,C,multiple_choice,1981,588
14. The primary source of heat used to maintain the constant temperature of the human body is:,Absorption of sunlight,Friction between muscles,The metabolism of food,Electrical signals in the nerves,C,multiple_choice,1981,589
"15. When a fresh-water micro-organism is placed in a concentrated salt solution, it will shrivel and die. This happens due to the process of:","Osmosis, as water moves out of the organism","Diffusion, as salt moves into the organism",Active transport,A chemical reaction that dissolves the cell wall,A,multiple_choice,1981,589
"16. Rickets, a condition that leads to the softening and weakening of bones in children, is caused by a severe deficiency of:",Vitamin C,Vitamin E,Vitamin D,Vitamin B12,C,multiple_choice,1981,589
17. A fire extinguisher containing compressed carbon dioxide (CO2) works mainly by:,Cooling the fire below its ignition temperature,Displacing oxygen from the fire,Reacting chemically with the burning material,Increasing the air pressure around the fire,B,multiple_choice,1981,590
"18. A dry cell battery, like the one used in a flashlight, converts:",Electrical energy into chemical energy,Chemical energy into electrical energy,Heat energy into electrical energy,Mechanical energy into electrical energy,B,multiple_choice,1981,590
"19. In an ecosystem, organisms that can produce their own food using light or chemical energy, such as plants, are known as:",Consumers,Producers,Decomposers,Herbivores,B,multiple_choice,1981,591
20. The conversion of liquid vegetable oil into solid Vanaspati Ghee is achieved through a chemical process called:,Hydrogenation,Saponification,Esterification,Oxidation,A,multiple_choice,1981,591
"The process of gathering information about the Earth's surface from a distance, typically by satellites or aircraft, is called:",Geocaching,Triangulation,Remote Sensing,Tectonics,C,multiple_choice,1980,592
"The primary function of the lungs in the human body is facilitated by millions of tiny air sacs called alveoli, which serve to:",Produce mucus,Vibrate to produce sound,Maximize the surface area for gas exchange,Filter out dust particles,C,multiple_choice,1980,592
"The industrial process used in an oil refinery to separate crude oil into useful fractions like gasoline, diesel, and kerosene is:",Fractional Distillation,Cracking,Polymerization,Electrolysis,A,multiple_choice,1980,592
"The process of coating a metal object with a thin layer of another metal using electricity, such as in silver-plating, is called:",Smelting,Galvanization,Electroplating,Annealing,C,multiple_choice,1980,593
A spinning top can stay upright without falling for a considerable time due to the principle of:,Conservation of linear momentum,Newton's Law of Gravitation,Centripetal force,Conservation of angular momentum (gyroscopic effect),D,multiple_choice,1980,593
"On a weather map, lines drawn to connect points of equal temperature are known as:",Isobars,Contours,Isotherms,Isohyets,C,multiple_choice,1980,594
"In the analogy of the human eye as a camera, which part corresponds to the camera's sensor or film, where the image is formed?",The Iris,The Lens,The Retina,The Cornea,C,multiple_choice,1980,594
The timekeeping mechanism in a modern quartz clock relies on the precise and regular vibrations of:,A balanced spring,A small pendulum,A quartz crystal under an electric field,A bimetallic strip,C,multiple_choice,1980,594
A transformer is a device used in electrical circuits to:,Convert Alternating Current (AC) to Direct Current (DC),Store electrical charge,Change the voltage of an Alternating Current,Generate electricity from motion,C,multiple_choice,1980,595
10. The operation of an electric doorbell is a classic application of:,The photoelectric effect,Static electricity,Electromagnetism,Nuclear fission,C,multiple_choice,1980,595
"11. Smallpox, a disease now eradicated globally, was caused by a:",Bacterium,Virus,Fungus,Parasite,B,multiple_choice,1980,596
12. Sound is produced by a flute when:,The metal of the flute vibrates,The player's lips vibrate against the mouthpiece,A column of air inside the instrument is made to vibrate,The keys are struck,C,multiple_choice,1980,596
"13. A glacier is a large, persistent body of ice on land, whereas an iceberg is:",A frozen lake,A smaller type of glacier,A large piece of ice that has broken off from a glacier and is floating in the sea,A permanent ice sheet covering a continent,C,multiple_choice,1980,596
"14. A walkie-talkie is a portable, two-way transceiver that communicates using:",Infrared light,Laser beams,Radio waves,Ultrasonic pulses,C,multiple_choice,1980,597
"15. The breaking down of rocks and minerals on the surface of the Earth is known as weathering, while the movement of these broken particles by wind or water is called:",Deposition,Erosion,Sedimentation,Compaction,B,multiple_choice,1980,597
16. The primary reason leaves change color from green to yellow or red in autumn is the:,Production of new pigments due to cold,Freezing of the water inside the leaf cells,"Breakdown of green chlorophyll, which unmasks other pre-existing pigments",Absorption of minerals from the soil,C,multiple_choice,1980,597
"17. The ripening of fruits, such as mangoes turning sweet, is a chemical process primarily involving the breakdown of complex starches into simple:",Proteins,Sugars,Fats,Vitamins,B,multiple_choice,1980,598
"18. Fjords, which are long, deep, narrow inlets of the sea with steep sides, are typically formed by:",River erosion,Volcanic collapse,Glacial erosion,Tectonic plate movement,C,multiple_choice,1980,598
"19. When a driver presses the brake pedal of a car, the force is transmitted and amplified through the brake fluid to stop the wheels. This is a direct application of:",Archimedes' Principle,Pascal's Law,Bernoulli's Principle,The Law of Conservation of Energy,B,multiple_choice,1980,599
