
🚀 ENGINEERING MASTER ENGINE (FIXED V3) ACTIVATED
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 273)
    ✓ Batch [NET]: 4 saved (Total: 277)
    ✓ Batch [ECAT]: 11 saved (Total: 288)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 300)

▶ STARTING: Computer_Science -> Data Communication (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 76)
    ✓ Batch [NET]: 17 saved (Total: 93)
    ✓ Batch [ECAT]: 19 saved (Total: 112)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 130)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 145)
    ✓ Batch [NET]: 12 saved (Total: 157)
    ✓ Batch [ECAT]: 19 saved (Total: 176)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 191)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 206)
    ✓ Batch [NET]: 12 saved (Total: 218)
    ✓ Batch [ECAT]: 17 saved (Total: 235)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 250)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 264)
    ✓ Batch [NET]: 12 saved (Total: 276)
    ✓ Batch [ECAT]: 17 saved (Total: 293)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 308)

▶ STARTING: Computer_Science -> Computer Architecture (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 79)
    ✓ Batch [NET]: 19 saved (Total: 98)
    ✓ Batch [ECAT]: 20 saved (Total: 118)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 136)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 152)
    ✓ Batch [NET]: 14 saved (Total: 166)
    ✓ Batch [ECAT]: 20 saved (Total: 186)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 198)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 212)
    ✓ Batch [NET]: 15 saved (Total: 227)
    ✓ Batch [ECAT]: 19 saved (Total: 246)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 261)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 266)
    ✓ Batch [NET]: 15 saved (Total: 281)
    ✓ Batch [ECAT]: 19 saved (Total: 300)

▶ STARTING: Computer_Science -> Operating Systems (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 52)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 71)
    ✓ Batch [NET]: 15 saved (Total: 86)
    ✓ Batch [ECAT]: 17 saved (Total: 103)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 116)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 128)
    ✓ Batch [NET]: 16 saved (Total: 144)
    ✓ Batch [ECAT]: 13 saved (Total: 157)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 170)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 182)
    ✓ Batch [NET]: 12 saved (Total: 194)
    ✓ Batch [ECAT]: 6 saved (Total: 200)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 207)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 215)
    ✓ Batch [NET]: 16 saved (Total: 231)
    ✓ Batch [ECAT]: 9 saved (Total: 240)
    ✓ Batch [GIKI_PIEAS]: 6 saved (Total: 246)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 259)
    ✓ Batch [NET]: 5 saved (Total: 264)
    ✓ Batch [ECAT]: 13 saved (Total: 277)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 288)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 296)
    ✓ Batch [NET]: 6 saved (Total: 302)

▶ STARTING: Computer_Science -> Programming in C (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 73)
    ✓ Batch [NET]: 14 saved (Total: 87)
    ✓ Batch [ECAT]: 18 saved (Total: 105)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 116)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 136)
    ✓ Batch [NET]: 18 saved (Total: 154)
    ✓ Batch [ECAT]: 18 saved (Total: 172)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 191)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 206)
    ✓ Batch [NET]: 12 saved (Total: 218)
    ✓ Batch [ECAT]: 11 saved (Total: 229)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 247)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 263)
    ✓ Batch [NET]: 7 saved (Total: 270)
    ✓ Batch [ECAT]: 16 saved (Total: 286)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 303)

▶ STARTING: Computer_Science -> Databases (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 58)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 78)
    ✓ Batch [NET]: 16 saved (Total: 94)
    ✓ Batch [ECAT]: 13 saved (Total: 107)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 122)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 130)
    ✓ Batch [NET]: 12 saved (Total: 142)
    ✓ Batch [ECAT]: 8 saved (Total: 150)
    ✓ Batch [GIKI_PIEAS]: 7 saved (Total: 157)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 169)
    ✓ Batch [NET]: 16 saved (Total: 185)
    ✓ Batch [ECAT]: 7 saved (Total: 192)
    ✓ Batch [GIKI_PIEAS]: 11 saved (Total: 203)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 216)
    ✓ Batch [NET]: 9 saved (Total: 225)
    ✓ Batch [ECAT]: 13 saved (Total: 238)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 252)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 263)
    ✓ Batch [NET]: 10 saved (Total: 273)
    ✓ Batch [ECAT]: 15 saved (Total: 288)
    ✓ Batch [GIKI_PIEAS]: 3 saved (Total: 291)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 303)

▶ STARTING: Computer_Science -> Network Security (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 18 saved (Total: 38)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 55)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 70)
    ✓ Batch [NET]: 16 saved (Total: 86)
    ✓ Batch [ECAT]: 14 saved (Total: 100)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 113)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 126)
    ✓ Batch [NET]: 13 saved (Total: 139)
    ✓ Batch [ECAT]: 9 saved (Total: 148)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 157)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 168)
    ✓ Batch [NET]: 10 saved (Total: 178)
    ✓ Batch [ECAT]: 9 saved (Total: 187)
    ✓ Batch [GIKI_PIEAS]: 10 saved (Total: 197)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 207)
    ✓ Batch [NET]: 4 saved (Total: 211)
    ✗ Error: Connection error.
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 227)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 235)
    ✓ Batch [NET]: 13 saved (Total: 248)
    ✓ Batch [ECAT]: 9 saved (Total: 257)
    ✓ Batch [GIKI_PIEAS]: 6 saved (Total: 263)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 273)
    ✓ Batch [NET]: 8 saved (Total: 281)
    ✓ Batch [ECAT]: 8 saved (Total: 289)
    ✓ Batch [GIKI_PIEAS]: 5 saved (Total: 294)
    ✓ Batch [LUMS_SAT]: 6 saved (Total: 300)

▶ STARTING: English -> Vocabulary and Synonyms (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 19 saved (Total: 39)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 79)
    ✓ Batch [NET]: 20 saved (Total: 99)
    ✓ Batch [ECAT]: 20 saved (Total: 119)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 139)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 158)
    ✓ Batch [NET]: 18 saved (Total: 176)
    ✓ Batch [ECAT]: 18 saved (Total: 194)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 214)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 234)
    ✓ Batch [NET]: 20 saved (Total: 254)
    ✓ Batch [ECAT]: 20 saved (Total: 274)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 294)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 313)

▶ STARTING: English -> Grammar and Parts of Speech (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 59)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 78)
    ✓ Batch [NET]: 17 saved (Total: 95)
    ✓ Batch [ECAT]: 17 saved (Total: 112)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 132)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 149)
    ✓ Batch [NET]: 12 saved (Total: 161)
    ✓ Batch [ECAT]: 19 saved (Total: 180)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 199)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 214)
    ✓ Batch [NET]: 16 saved (Total: 230)
    ✓ Batch [ECAT]: 16 saved (Total: 246)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 264)
    ✓ Batch [LUMS_SAT]: 15 saved (Total: 279)
    ✓ Batch [NET]: 12 saved (Total: 291)
    ✓ Batch [ECAT]: 20 saved (Total: 311)

▶ STARTING: English -> Sentence Completion (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 80)
    ✓ Batch [NET]: 20 saved (Total: 100)
    ✓ Batch [ECAT]: 17 saved (Total: 117)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 135)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 154)
    ✓ Batch [NET]: 14 saved (Total: 168)
    ✓ Batch [ECAT]: 14 saved (Total: 182)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 196)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 215)
    ✓ Batch [NET]: 15 saved (Total: 230)
    ✓ Batch [ECAT]: 20 saved (Total: 250)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 265)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 279)
    ✓ Batch [NET]: 11 saved (Total: 290)
    ✓ Batch [ECAT]: 19 saved (Total: 309)

▶ STARTING: English -> Reading Comprehension (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 21 saved (Total: 61)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 80)
    ✓ Batch [NET]: 18 saved (Total: 98)
    ✓ Batch [ECAT]: 16 saved (Total: 114)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 134)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 152)
    ✓ Batch [NET]: 20 saved (Total: 172)
    ✓ Batch [ECAT]: 19 saved (Total: 191)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 211)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 228)
    ✓ Batch [NET]: 20 saved (Total: 248)
    ✓ Batch [ECAT]: 17 saved (Total: 265)
    ✓ Batch [GIKI_PIEAS]: 17 saved (Total: 282)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 301)

▶ STARTING: English -> Analogies (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 77)
    ✓ Batch [NET]: 6 saved (Total: 83)
    ✓ Batch [ECAT]: 15 saved (Total: 98)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 106)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 126)
    ✓ Batch [NET]: 7 saved (Total: 133)
    ✓ Batch [ECAT]: 7 saved (Total: 140)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 156)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 172)
    ✓ Batch [NET]: 13 saved (Total: 185)
    ✓ Batch [ECAT]: 2 saved (Total: 187)
    ✓ Batch [GIKI_PIEAS]: 15 saved (Total: 202)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 222)
    ✓ Batch [NET]: 4 saved (Total: 226)
    ✓ Batch [ECAT]: 20 saved (Total: 246)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 255)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 257)
    ✓ Batch [NET]: 4 saved (Total: 261)
    ✓ Batch [ECAT]: 3 saved (Total: 264)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 268)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 276)
    ✓ Batch [NET]: 2 saved (Total: 278)
    ✓ Batch [ECAT]: 2 saved (Total: 280)
    ✓ Batch [GIKI_PIEAS]: 2 saved (Total: 282)
    ✓ Batch [LUMS_SAT]: 12 saved (Total: 294)
    ✓ Batch [NET]: 4 saved (Total: 298)
    ✓ Batch [ECAT]: 8 saved (Total: 306)

▶ STARTING: Intelligence -> Series Completion (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 7 saved (Total: 27)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 47)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 66)
    ✓ Batch [NET]: 5 saved (Total: 71)
    ✓ Batch [ECAT]: 11 saved (Total: 82)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 86)
    ✓ Batch [LUMS_SAT]: 3 saved (Total: 89)
    ✓ Batch [NET]: 6 saved (Total: 95)
    ✓ Batch [ECAT]: 1 saved (Total: 96)
    ✓ Batch [GIKI_PIEAS]: 2 saved (Total: 98)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 116)
    ✓ Batch [NET]: 6 saved (Total: 122)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 134)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 136)
    ✓ Batch [NET]: 5 saved (Total: 141)
    ✓ Batch [ECAT]: 2 saved (Total: 143)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 147)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 149)
    ✓ Batch [NET]: 8 saved (Total: 157)
    ✓ Batch [ECAT]: 5 saved (Total: 162)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 166)
    ✓ Batch [LUMS_SAT]: 3 saved (Total: 169)
    ✓ Batch [NET]: 1 saved (Total: 170)
    ✓ Batch [ECAT]: 2 saved (Total: 172)
    ✓ Batch [GIKI_PIEAS]: 2 saved (Total: 174)
    ✓ Batch [NET]: 3 saved (Total: 177)
    ✓ Batch [ECAT]: 4 saved (Total: 181)
    ✓ Batch [GIKI_PIEAS]: 3 saved (Total: 184)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 189)
    ✓ Batch [ECAT]: 3 saved (Total: 192)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 193)
    ✓ Batch [ECAT]: 3 saved (Total: 196)
    ✓ Batch [GIKI_PIEAS]: 4 saved (Total: 200)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 202)
    ✓ Batch [NET]: 2 saved (Total: 204)
    ✓ Batch [ECAT]: 1 saved (Total: 205)
    ✓ Batch [GIKI_PIEAS]: 3 saved (Total: 208)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 210)
    ✓ Batch [NET]: 2 saved (Total: 212)
    ✓ Batch [LUMS_SAT]: 5 saved (Total: 217)
    ✓ Batch [NET]: 2 saved (Total: 219)
    ✓ Batch [ECAT]: 3 saved (Total: 222)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 223)
    ✓ Batch [NET]: 2 saved (Total: 225)
    ✓ Batch [ECAT]: 1 saved (Total: 226)
    ✓ Batch [NET]: 2 saved (Total: 228)
    ✓ Batch [ECAT]: 1 saved (Total: 229)
    ✓ Batch [GIKI_PIEAS]: 2 saved (Total: 231)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 241)
    ✓ Batch [NET]: 1 saved (Total: 242)
    ✓ Batch [ECAT]: 3 saved (Total: 245)
    ✓ Batch [ECAT]: 1 saved (Total: 246)
    ✓ Batch [LUMS_SAT]: 1 saved (Total: 247)
    ✓ Batch [NET]: 1 saved (Total: 248)
    ✓ Batch [ECAT]: 2 saved (Total: 250)
    ✓ Batch [ECAT]: 2 saved (Total: 252)
    ✓ Batch [LUMS_SAT]: 3 saved (Total: 255)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 256)
    ✓ Batch [LUMS_SAT]: 1 saved (Total: 257)
    ✓ Batch [NET]: 3 saved (Total: 260)
    ✓ Batch [ECAT]: 1 saved (Total: 261)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 262)
    ✓ Batch [ECAT]: 1 saved (Total: 263)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 264)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 266)
    ✓ Batch [NET]: 2 saved (Total: 268)
    ✓ Batch [ECAT]: 2 saved (Total: 270)
    ✓ Batch [LUMS_SAT]: 1 saved (Total: 271)
    ✓ Batch [GIKI_PIEAS]: 2 saved (Total: 273)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 275)
    ✓ Batch [ECAT]: 1 saved (Total: 276)
    ✓ Batch [ECAT]: 1 saved (Total: 277)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 278)
    ✓ Batch [ECAT]: 2 saved (Total: 280)
    ✓ Batch [LUMS_SAT]: 1 saved (Total: 281)
    ✓ Batch [ECAT]: 1 saved (Total: 282)
    ✓ Batch [NET]: 1 saved (Total: 283)
    ✓ Batch [ECAT]: 1 saved (Total: 284)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 286)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 287)
    ✓ Batch [LUMS_SAT]: 2 saved (Total: 289)
    ✓ Batch [NET]: 1 saved (Total: 290)
    ✓ Batch [ECAT]: 1 saved (Total: 291)
    ✓ Batch [LUMS_SAT]: 1 saved (Total: 292)
    ✓ Batch [LUMS_SAT]: 1 saved (Total: 293)
    ✓ Batch [ECAT]: 1 saved (Total: 294)
    ✓ Batch [GIKI_PIEAS]: 1 saved (Total: 295)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 305)

▶ STARTING: Intelligence -> Odd One Out (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 80)
    ✓ Batch [NET]: 17 saved (Total: 97)
    ✓ Batch [ECAT]: 18 saved (Total: 115)
    ✓ Batch [GIKI_PIEAS]: 18 saved (Total: 133)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 152)
    ✓ Batch [NET]: 17 saved (Total: 169)
    ✓ Batch [ECAT]: 19 saved (Total: 188)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 207)
    ✓ Batch [LUMS_SAT]: 17 saved (Total: 224)
    ✓ Batch [NET]: 17 saved (Total: 241)
    ✓ Batch [ECAT]: 19 saved (Total: 260)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 279)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 297)
    ✓ Batch [NET]: 16 saved (Total: 313)

▶ STARTING: Intelligence -> Coding Decoding (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 21 saved (Total: 61)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 81)
    ✓ Batch [NET]: 20 saved (Total: 101)
    ✓ Batch [ECAT]: 20 saved (Total: 121)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 140)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 160)
    ✗ Error: Error code: 400 - {'error': {'message': "Failed to generate JSON. Please adjust 
    ✓ Batch [ECAT]: 20 saved (Total: 180)
    ✓ Batch [GIKI_PIEAS]: 19 saved (Total: 199)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 219)
    ✓ Batch [NET]: 20 saved (Total: 239)
    ✓ Batch [ECAT]: 19 saved (Total: 258)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 278)
    ✓ Batch [LUMS_SAT]: 21 saved (Total: 299)
    ✓ Batch [NET]: 20 saved (Total: 319)

▶ STARTING: Intelligence -> Direction Sense (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 60)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 80)
    ✓ Batch [NET]: 20 saved (Total: 100)
    ✓ Batch [ECAT]: 20 saved (Total: 120)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 140)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 160)
    ✓ Batch [NET]: 20 saved (Total: 180)
    ✓ Batch [ECAT]: 19 saved (Total: 199)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 219)
    ✓ Batch [LUMS_SAT]: 19 saved (Total: 238)
    ✓ Batch [NET]: 20 saved (Total: 258)
    ✓ Batch [ECAT]: 19 saved (Total: 277)
    ✓ Batch [GIKI_PIEAS]: 20 saved (Total: 297)
    ✓ Batch [LUMS_SAT]: 20 saved (Total: 317)

▶ STARTING: Intelligence -> Logical Problems (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 17 saved (Total: 37)
    ✓ Batch [GIKI_PIEAS]: 14 saved (Total: 51)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 62)
    ✓ Batch [NET]: 10 saved (Total: 72)
    ✓ Batch [ECAT]: 13 saved (Total: 85)
    ✓ Batch [GIKI_PIEAS]: 8 saved (Total: 93)
    ✓ Batch [LUMS_SAT]: 10 saved (Total: 103)
    ✓ Batch [NET]: 10 saved (Total: 113)
    ✓ Batch [ECAT]: 17 saved (Total: 130)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 139)
    ✓ Batch [LUMS_SAT]: 11 saved (Total: 150)
    ✓ Batch [NET]: 9 saved (Total: 159)
    ✓ Batch [ECAT]: 15 saved (Total: 174)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 187)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 200)
    ✓ Batch [NET]: 13 saved (Total: 213)
    ✓ Batch [ECAT]: 13 saved (Total: 226)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 238)
    ✓ Batch [LUMS_SAT]: 8 saved (Total: 246)
    ✓ Batch [NET]: 11 saved (Total: 257)
    ✓ Batch [ECAT]: 13 saved (Total: 270)
    ✓ Batch [GIKI_PIEAS]: 9 saved (Total: 279)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 293)
    ✓ Batch [NET]: 8 saved (Total: 301)

▶ STARTING: Intelligence -> Analytical Reasoning (0/300)
    ✓ Batch [NET]: 20 saved (Total: 20)
    ✓ Batch [ECAT]: 20 saved (Total: 40)
    ✓ Batch [GIKI_PIEAS]: 16 saved (Total: 56)
    ✓ Batch [LUMS_SAT]: 18 saved (Total: 74)
    ✓ Batch [NET]: 16 saved (Total: 90)
    ✓ Batch [ECAT]: 18 saved (Total: 108)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 121)
    ✓ Batch [LUMS_SAT]: 16 saved (Total: 137)
    ✓ Batch [NET]: 13 saved (Total: 150)
    ✓ Batch [ECAT]: 14 saved (Total: 164)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 176)
    ✓ Batch [LUMS_SAT]: 13 saved (Total: 189)
    ✓ Batch [NET]: 14 saved (Total: 203)
    ✓ Batch [ECAT]: 16 saved (Total: 219)
    ✓ Batch [GIKI_PIEAS]: 12 saved (Total: 231)
    ✓ Batch [LUMS_SAT]: 14 saved (Total: 245)
    ✓ Batch [NET]: 14 saved (Total: 259)
    ✓ Batch [ECAT]: 12 saved (Total: 271)
    ✓ Batch [GIKI_PIEAS]: 13 saved (Total: 284)
    ✗ Error: Error code: 503 - {'error': {'message': 'meta-llama/llama-4-maverick-17b-128e-in
    ✓ Batch [NET]: 12 saved (Total: 296)
    ✓ Batch [ECAT]: 13 saved (Total: 309)
