Profile,Name,URL,About,Find companies,Description,Primary Industry,Size,Type,Location,Country,Domain
La Jolla Cosmetic Laser Clinic,La Jolla Cosmetic Laser Clinic,https://www.linkedin.com/company/la-jolla-cosmetic-laser-clinic,"Caring, qualified and experienced physicians and clinicians up to date with the latest skin care procedures and techniques using state of the art lasers and equipment. At La Jolla Cosmetic Laser Clinic it is our mission to provide you an exceptional experience from check-in to post-care. Our cutting-edge equipment, delicate and precise delivery methods/techniques coupled with our unwavering commitment to customer service make us one of the leading cosmetic laser clinics in La Jolla and the greater San Diego area.
Under Dr. Mani's medical direction, clients are assured they are provided with FDA safe and effective skin rejuvenation treatments and medical-grade skincare products. As she herself ages she understands firsthand peoples' feelings regarding using natural, graceful and beautifying transformation techniques.

Established in 2005 Nasrin Mani, M.D. is the founder of La Jolla Cosmetic Laser Clinic.",,"Caring, qualified and experienced physicians and clinicians up to date with the latest skin care procedures and techniques using state of the art lasers and equipment. At La Jolla Cosmetic Laser Clinic it is our mission to provide you an exceptional experience from check-in to post-care. Our cutting-edge equipment, delicate and precise delivery methods/techniques coupled with our unwavering commitment to customer service make us one of the leading cosmetic laser clinics in La Jolla and the greater San Diego area.
Under Dr. Mani's medical direction, clients are assured they are provided with FDA safe and effective skin rejuvenation treatments and medical-grade skincare products. As she herself ages she understands firsthand peoples' feelings regarding using natural, graceful and beautifying transformation techniques.

Established in 2005 Nasrin Mani, M.D. is the founder of La Jolla Cosmetic Laser Clinic.",Medical Practices,11-50 employees,Privately Held,"La Jolla, California",United States,lajollalaser.com
Skin Savvy Medical Spa,Skin Savvy Medical Spa,https://www.linkedin.com/company/skin-savvy-medical-spa,Skin Savvy empowers people through choice over their appearance.,,Skin Savvy empowers people through choice over their appearance.,Medical Practices,11-50 employees,Privately Held,"Westlake Village, California",United States,skinsavvy.com
Young Medical Spa®,Young Medical Spa,https://www.linkedin.com/company/young-medical-spa,"Young Medical Spa® is a multiple award-winning full-service medical spa organization with three locations in Pennsylvania - Center Valley, Lansdale, & Forty Fort.

Young Medical Spa® offers an array of body shaping & sculpting procedures such as SmartLipo™, CoolSculpting®, SculpSure™, BodyTite®, FaceTite®, VelaShape™ and Cellulaze™ cellulite reduction; Brazilian Butt Lift, and Natural Breast Augmentation.

Other treatments and procedures include Ultherapy®, ALMI Face, EndyMed® Skin Tightening, ThermiVa® Vaginal Rejuvenation, O-SHOT®, P-SHOT®, ALMI Man Shot, BioTE Bio-Identical Hormone Replacement Therapy, Thread Lift, IPL Photo Facials, Young hCG Diet, Kybella®, Botox for the face and severe underarm sweating, MicroPen® microneedling, dermal fillers, HydraFacial® MD Elite, laser hair removal, laser skin resurfacing and tightening, chemical peels, facials, crystal-free microdermabrasion, sclerotherapy and laser leg vein treatments.",,"Young Medical Spa is a multiple award-winning full-service medical spa organization with three locations in Pennsylvania - Center Valley, Lansdale, & Forty Fort.

Young Medical Spa offers an array of body shaping & sculpting procedures such as SmartLipo, CoolSculpting, SculpSure, BodyTite, FaceTite, VelaShape and Cellulaze cellulite reduction; Brazilian Butt Lift, and Natural Breast Augmentation.

Other treatments and procedures include Ultherapy, ALMI Face, EndyMed Skin Tightening, ThermiVa Vaginal Rejuvenation, O-SHOT, P-SHOT, ALMI Man Shot, BioTE Bio-Identical Hormone Replacement Therapy, Thread Lift, IPL Photo Facials, Young hCG Diet, Kybella, Botox for the face and severe underarm sweating, MicroPen microneedling, dermal fillers, HydraFacial MD Elite, laser hair removal, laser skin resurfacing and tightening, chemical peels, facials, crystal-free microdermabrasion, sclerotherapy and laser leg vein treatments.",Medical Practices,11-50 employees,Privately Held,"Center Valley, PA",United States,youngmedicalspa.com
Tuscan Sun Spa & Salon,Tuscan Sun Spa & Salon,https://www.linkedin.com/company/tuscan-sun-spa-&-salon,"Tuscan Sun Spa & Salon was founded with a passion for helping others to always feel both beautiful and confident. Two decades later, we proudly encompass five locations throughout West Virginia, Pennsylvania, and New York. Each facility features a full-service, state-of-the-art spa, Aveda hair salon, medical spa, and boutique. At Tuscan Sun Spa & Salon, we are dedicated to the ongoing education of our team members and staying on top of the latest, cutting-edge technology and techniques - something that our clients have come to trust. At Tuscan Sun Spa & Salon, we combine beauty and wellness in everything we do.",,"Tuscan Sun Spa & Salon was founded with a passion for helping others to always feel both beautiful and confident. Two decades later, we proudly encompass five locations throughout West Virginia, Pennsylvania, and New York. Each facility features a full-service, state-of-the-art spa, Aveda hair salon, medical spa, and boutique. At Tuscan Sun Spa & Salon, we are dedicated to the ongoing education of our team members and staying on top of the latest, cutting-edge technology and techniques - something that our clients have come to trust. At Tuscan Sun Spa & Salon, we combine beauty and wellness in everything we do.",Wellness and Fitness Services,51-200 employees,Privately Held,"Fairmont, WV",United States,tuscanspaandsalon.com
The Breslow Center for Plastic Surgery & Medical Spa,The Breslow Center for Plastic Surgery & Medical Spa,https://www.linkedin.com/company/the-breslow-center-for-plastic-surgery-&-med-spa,"At The Breslow Center for Plastic Surgery and Medical Spa, we believe that because no two patients are the same, each requires and deserves individualized attention, time, and planning.  It is through this ""individualized approach"" philosophy that each patient's unique set of cosmetic and reconstructive concerns are extensively discussed, analyzed, and addressed by our team thereby enabling each patient to realize his or her own desires and goals.

We offer a complete range of state-of-the-art plastic surgery services in northern New Jersey.  Surgical options include facelift, necklift, browlift, browpexy, blepharoplasty, rhinoplasty, chin augmentation, cheek augmentation, and otoplasty.  Our minimally invasive treatments include Botox, facial filler such as Juvederm and Radiesse, fat grafting, and lip augmentation.  Our Medical Spa offers a complete range of noninvasive facial rejuvenation treatments and products.",,"At The Breslow Center for Plastic Surgery and Medical Spa, we believe that because no two patients are the same, each requires and deserves individualized attention, time, and planning.  It is through this ""individualized approach"" philosophy that each patient's unique set of cosmetic and reconstructive concerns are extensively discussed, analyzed, and addressed by our team thereby enabling each patient to realize his or her own desires and goals.

We offer a complete range of state-of-the-art plastic surgery services in northern New Jersey.  Surgical options include facelift, necklift, browlift, browpexy, blepharoplasty, rhinoplasty, chin augmentation, cheek augmentation, and otoplasty.  Our minimally invasive treatments include Botox, facial filler such as Juvederm and Radiesse, fat grafting, and lip augmentation.  Our Medical Spa offers a complete range of noninvasive facial rejuvenation treatments and products.",Medical Practices,11-50 employees,Privately Held,"Paramus, New Jersey",United States,breslowmd.com
Colorado Dermatology Institute,Colorado Dermatology Institute,https://www.linkedin.com/company/colorado-dermatology-institute,"It is our mission at Colorado Dermatology Institute to help you become comfortable in your skin while providing you with the most up-to-date and comprehensive dermatologic care possible. We strive to exceed your expectations each and every visit. It is our job to actively educate you on your diagnosis, discuss treatment options, and explain medication usage so that you can become an active participant in your medical care.",,"It is our mission at Colorado Dermatology Institute to help you become comfortable in your skin while providing you with the most up-to-date and comprehensive dermatologic care possible. We strive to exceed your expectations each and every visit. It is our job to actively educate you on your diagnosis, discuss treatment options, and explain medication usage so that you can become an active participant in your medical care.",Medical Practices,11-50 employees,Privately Held,"Colorado Springs, Colorado",United States,coloradodermatologyinstitute.com
Meadows Surgical Arts,Meadows Surgical Arts,https://www.linkedin.com/company/meadows-surgical-arts,"Meadows Surgical Arts provides a welcome blend of cosmetic surgery, vein surgery, and gynecological care in a personal, private, and inviting atmosphere.  Promoting personalized health and beautification regimens, Meadows Surgical Arts provides a client-focused approach to ensure the best possible patient experience while achieving the most ideal medical and cosmetic outcomes.  Meadows Surgical Arts' philosophy has always been to achieve excellent results with superb customer service.  The Meadows team recognizes that clients aspire to complete wellness wanting their bodies to look as young as their minds feel.  Dr. Meadows and his team have the number one goal of your complete satisfaction in mind with every procedure and treatment.

Dr. Lionel D. Meadows, FACOG, FACS, FAACS is double-board certified by the American Board of Obstetricians and Gynecologists (ABOG) and the American Board of Cosmetic Surgery (ABCS).",,"Meadows Surgical Arts provides a welcome blend of cosmetic surgery, vein surgery, and gynecological care in a personal, private, and inviting atmosphere.  Promoting personalized health and beautification regimens, Meadows Surgical Arts provides a client-focused approach to ensure the best possible patient experience while achieving the most ideal medical and cosmetic outcomes.  Meadows Surgical Arts' philosophy has always been to achieve excellent results with superb customer service.  The Meadows team recognizes that clients aspire to complete wellness wanting their bodies to look as young as their minds feel.  Dr. Meadows and his team have the number one goal of your complete satisfaction in mind with every procedure and treatment.

Dr. Lionel D. Meadows, FACOG, FACS, FAACS is double-board certified by the American Board of Obstetricians and Gynecologists (ABOG) and the American Board of Cosmetic Surgery (ABCS).",Medical Practices,11-50 employees,Privately Held,"Commerce, GA",United States,meadowssurgicalarts.com
Laserderm,Laserderm,https://www.linkedin.com/company/laserderm,"At Laserderm, world renowned dermatologist and laser skin specialist Dr. Sharyn Laughlin masterfully blends clinical dermatology with the art and science of cutaneous lasers for optimal patient care. Dr. Laughlin is a pioneer in the field of laser dermatology, and has been involved in laser research and laser skin surgery since the 1980’s. 

 Dr. Laughlin and her highly qualified staff at Laserderm will give you what your skin deserves… the best care possible.

Dr. Laughlin is one of a select group of three Canadian dermatologists who started the sub-specialty of laser dermatology in 1983. A Canadian pioneer in dermatologic laser surgery, she received her early training from Dr. Leon Goldman, the renowned “father” of laser surgery.

For over 25 years Laserderm has provided unique expertise in laser skin surgery to over 100,000 patients from across Canada, the USA, and  as far away as Greece, Malaysia and Brazil. Expertise comes best from formal specialty training and long experience. Laserderm medical director Sharyn Laughlin has been a board certified dermatologist (Canada, U.S.A.) since 1981. A specialist in laser skin surgery since 1983, Dr. Laughlin has been immersed in every aspect of laser medicine‑ research, teaching, and patient care.

Laserderm was established in 1987 as a national and international treatment centre to treat portwine stain birthmarks. In 1991, the Ontario Ministry of Health selected Laserderm to be a licensed Independent Health Facility for the laser treatment of vascular lesions. It is still the only such facility in Ontario and is a leading research and teaching centre for the development of new technology. Laserderm’s academic links include a major contribution to training physicians who now perform laser skin surgery. Over 800 physicians worldwide have received training in cutaneous laser surgery from Dr. Sharyn Laughlin.",,"At Laserderm, world renowned dermatologist and laser skin specialist Dr. Sharyn Laughlin masterfully blends clinical dermatology with the art and science of cutaneous lasers for optimal patient care. Dr. Laughlin is a pioneer in the field of laser dermatology, and has been involved in laser research and laser skin surgery since the 1980’s. 

 Dr. Laughlin and her highly qualified staff at Laserderm will give you what your skin deserves… the best care possible.

Dr. Laughlin is one of a select group of three Canadian dermatologists who started the sub-specialty of laser dermatology in 1983. A Canadian pioneer in dermatologic laser surgery, she received her early training from Dr. Leon Goldman, the renowned “father” of laser surgery.

For over 25 years Laserderm has provided unique expertise in laser skin surgery to over 100,000 patients from across Canada, the USA, and  as far away as Greece, Malaysia and Brazil. Expertise comes best from formal specialty training and long experience. Laserderm medical director Sharyn Laughlin has been a board certified dermatologist (Canada, U.S.A.) since 1981. A specialist in laser skin surgery since 1983, Dr. Laughlin has been immersed in every aspect of laser medicine‑ research, teaching, and patient care.

Laserderm was established in 1987 as a national and international treatment centre to treat portwine stain birthmarks. In 1991, the Ontario Ministry of Health selected Laserderm to be a licensed Independent Health Facility for the laser treatment of vascular lesions. It is still the only such facility in Ontario and is a leading research and teaching centre for the development of new technology. Laserderm’s academic links include a major contribution to training physicians who now perform laser skin surgery. Over 800 physicians worldwide have received training in cutaneous laser surgery from Dr. Sharyn Laughlin.",Medical Practices,11-50 employees,Privately Held,"Ottawa, Ontario",Canada,laserderm.ca
"Dermatology, Laser & Vein Specialists of the Carolinas","Dermatology, Laser & Vein Specialists of the Carolinas",https://www.linkedin.com/company/dermatology-laser-&-vein-specialists-of-the-carolinas,"Our board-certified dermatologists have been serving Charlotte and the surrounding areas for over 25 years. Offering laser & cosmetic dermatology services, varicose & spider vein treatments, Mohs skin cancer surgery and general dermatology care for pediatric & adults.",,"Our board-certified dermatologists have been serving Charlotte and the surrounding areas for over 25 years. Offering laser & cosmetic dermatology services, varicose & spider vein treatments, Mohs skin cancer surgery and general dermatology care for pediatric & adults.",Medical Practices,11-50 employees,Privately Held,"Charlotte, NC",United States,carolinaskin.com
Coachlight MedSpa,Coachlight MedSpa,https://www.linkedin.com/company/coachlight-clinic-spa,"Coachlight is a premiere medical aesthetics spa with two convenient locations in West Des Moines and Ankeny, Iowa and known as a destination of beauty and wellness.Offering the latest technology and treatments - Coachlight clinic services include BOTOX Cosmetic, lip and wrinkle fillers, anti-aging laser treatments, body contouring procedures and more.Coachlight Spa in West Des Moines is a full-service day spa offering facials, body care treatments, waxing and wellness services. Coachlight Spa in West Des Moines has resort style amenities including a Himalayan salt sauna, eucalyptus steam room, cooling rain experience and relaxation lounge, which can be enjoyed before and after a spa treatment.",,"Coachlight is a premiere medical aesthetics spa with two convenient locations in West Des Moines and Ankeny, Iowa and known as a destination of beauty and wellness.

Offering the latest technology and treatments - Coachlight clinic services include BOTOX Cosmetic, lip and wrinkle fillers, anti-aging laser treatments, body contouring procedures and more.

Coachlight Spa in West Des Moines is a full-service day spa offering facials, body care treatments, waxing and wellness services. Coachlight Spa in West Des Moines has resort style amenities including a Himalayan salt sauna, eucalyptus steam room, cooling rain experience and relaxation lounge, which can be enjoyed before and after a spa treatment.",Medical Practices,11-50 employees,Privately Held,"West Des Moines, Iowa",United States,dsmcoachlight.com
Aesthetic MdR,Aesthetic MdR,https://www.linkedin.com/company/aesthetic-mdr,Aesthetic MdR was founded by world renowned plastic surgeon Dr. Luis Macias in order to provide the latest techniques in cosmetic medicine and surgery in a personalized atmosphere second to none.,,Aesthetic MdR was founded by world renowned plastic surgeon Dr. Luis Macias in order to provide the latest techniques in cosmetic medicine and surgery in a personalized atmosphere second to none.,Medical Practices,2-10 employees,Privately Held,"Marina del Rey, California",United States,aestheticmdr.com
Beauty Park Medical Spa,Beauty Park Medical Spa,https://www.linkedin.com/company/beauty-park,"Our vision is to use the latest advances in the science of beauty to provide our Los Angeles clients with the best options in non surgical beauty solutions. Beauty Park in Los Angeles, Ca, is a skin haven - offering med spa services, skin perfecting cosmetic laser services, and luxurious spa treatments.

Our skin perfecting lasers provide dramatic results - resurfacing and rejuvenating skin with less beauty down time than ever before. Acne laser services can eliminate active problems and reduce signs of past acne damage. Dermal filler and paralytics (Botox and Dysport) can sculpt a more youthful appearance in a single office visit, with no down time.",,"Our vision is to use the latest advances in the science of beauty to provide our Los Angeles clients with the best options in non surgical beauty solutions. Beauty Park in Los Angeles, Ca, is a skin haven - offering med spa services, skin perfecting cosmetic laser services, and luxurious spa treatments.

Our skin perfecting lasers provide dramatic results - resurfacing and rejuvenating skin with less beauty down time than ever before. Acne laser services can eliminate active problems and reduce signs of past acne damage. Dermal filler and paralytics (Botox and Dysport) can sculpt a more youthful appearance in a single office visit, with no down time.",Medical Practices,11-50 employees,Privately Held,"Los Angeles, 140 South Barrington Place",United States,beautyparkspa.com
"Elisabeth Potter, MD","Elisabeth Potter, MD",https://www.linkedin.com/company/elisabeth-potter-md,"Dr. Elisabeth Potter is a Board Certified plastic surgeon specializing in breast reconstructive surgery, including DIEP Flap Reconstruction. Dr. Potter completed her residency at the University of Texas Southwestern Medical Center at Dallas, as well as a fellowship at MD Anderson Cancer Center.",,"Dr. Elisabeth Potter is a Board Certified plastic surgeon specializing in breast reconstructive surgery, including DIEP Flap Reconstruction. Dr. Potter completed her residency at the University of Texas Southwestern Medical Center at Dallas, as well as a fellowship at MD Anderson Cancer Center.",Medical Practices,11-50 employees,Privately Held,"Austin, TX",United States,drpotter.com
Plastic Surgery Vegas,Plastic Surgery Vegas,https://www.linkedin.com/company/ansonedwardshiggins,"Drs. Anson, Edwards, Higgins, & Silver are the leading plastic surgeons in Las Vegas, Nevada. They specialize in cosmetic plastic surgery, injectables,  dermatology, and skincare. They are also the makers of FIXMDSkin.com.",,"Drs. Anson, Edwards, Higgins, & Silver are the leading plastic surgeons in Las Vegas, Nevada. They specialize in cosmetic plastic surgery, injectables,  dermatology, and skincare. They are also the makers of FIXMDSkin.com.",Medical Practices,11-50 employees,Privately Held,"Las Vegas, NV",United States,plasticsurgeryvegas.com
Hazen Plastic Surgery and Medical Spa,Hazen Plastic Surgery and Medical Spa,https://www.linkedin.com/company/hazenplasticsurgeryandaesthetics,"Dr. Hazen is one of the most highly regarded Board Certified Plastic and Reconstructive Surgeons in the tri-state area. During all cosmetic procedures, whether it be face, breasts, or body procedures, Dr. Hazen respects the fine balance between science and aesthetics. Using sound medical technologies with the technique of a seasoned artist, she achieves natural and rejuvenated results.",,"Dr. Hazen is one of the most highly regarded Board Certified Plastic and Reconstructive Surgeons in the tri-state area. During all cosmetic procedures, whether it be face, breasts, or body procedures, Dr. Hazen respects the fine balance between science and aesthetics. Using sound medical technologies with the technique of a seasoned artist, she achieves natural and rejuvenated results.",Medical Practices,11-50 employees,Privately Held,"Princeton, New Jersey",United States,hazenplasticsurgery.com
Desert Sky Dermatology,Desert Sky Dermatology,https://www.linkedin.com/company/desert-sky-dermatology,"Whether treating acne, psoriasis or warts, we take pride in utilizing the most advanced techniques and procedures. Call today to schedule an appointment and regain the confidence that comes with clear skin.

Dr. Woods is a board certified dermatologist in Gilbert AZ that has extensive training in surgical techniques who offers expertise in skin cancer detection, treatment and surgical restoration.  He is experienced in facial reconstruction, including plastic surgery techniques, such as skin flaps and grafts.  These surgical techniques lead to the best possible outcome for each patient's individual needs.

Dermatology deals with the diagnosis and treatment of disorders of the skin, hair, nails and mucous membranes. As medical doctors, dermatologists are experts in problems affecting these areas of the body.

While encompassing aspects of internal medicine, rheumatology and pediatrics, the dermatology specialty includes rashes, growths, discoloration and other lesions of the skin that require medical attention. We've listed some of the more common disorders here, but the list is by no means complete. The disorders listed here are just the most common reasons that patients come to Desert Sky Dermatology to seek our professional opinion.",,"Whether treating acne, psoriasis or warts, we take pride in utilizing the most advanced techniques and procedures. Call today to schedule an appointment and regain the confidence that comes with clear skin.

Dr. Woods is a board certified dermatologist in Gilbert AZ that has extensive training in surgical techniques who offers expertise in skin cancer detection, treatment and surgical restoration.  He is experienced in facial reconstruction, including plastic surgery techniques, such as skin flaps and grafts.  These surgical techniques lead to the best possible outcome for each patient's individual needs.

Dermatology deals with the diagnosis and treatment of disorders of the skin, hair, nails and mucous membranes. As medical doctors, dermatologists are experts in problems affecting these areas of the body.

While encompassing aspects of internal medicine, rheumatology and pediatrics, the dermatology specialty includes rashes, growths, discoloration and other lesions of the skin that require medical attention. We've listed some of the more common disorders here, but the list is by no means complete. The disorders listed here are just the most common reasons that patients come to Desert Sky Dermatology to seek our professional opinion.","Health, Wellness and Fitness",2-10 employees,Privately Held,"Gilbert, AZ",United States,desertskydermatology.com
Empire Eye and Laser Center,Empire Eye and Laser Center,https://www.linkedin.com/company/empire-eye-and-laser-center,"Our Mission Statement is to enhance each patient's quality of life by delivering superior state-of-the-art surgical and medical eye care, in a caring environment that promotes a memorable experience.  We offer everything from Lasik and Cataract Surgery to Botox, Filler, and Laser treatments.  Whatever your needs may be, Empire Eye and Laser Center offers you the ability to SEE BETTER and LOOK BETTER with our amazing team of doctors and nurses.",,"Our Mission Statement is to enhance each patient's quality of life by delivering superior state-of-the-art surgical and medical eye care, in a caring environment that promotes a memorable experience.  We offer everything from Lasik and Cataract Surgery to Botox, Filler, and Laser treatments.  Whatever your needs may be, Empire Eye and Laser Center offers you the ability to SEE BETTER and LOOK BETTER with our amazing team of doctors and nurses.",Medical Practices,11-50 employees,Privately Held,"Bakersfield, Ca",United States,empireeyeandlaser.com
SkinSmart Dermatology,SkinSmart Dermatology,https://www.linkedin.com/company/skinsmart-dermatology,"Sarasota's leading medical and cosmetic dermatology practice. Founded in 2005 by Dr. Elizabeth Callahan, SkinSmart Dermatology® is a comprehensive dermatology practice that provides advanced medical and aesthetic skin care treatments. We have four certified, experienced medical practitioners to meet every skin care need or problem you may have.",,"Sarasota's leading medical and cosmetic dermatology practice. Founded in 2005 by Dr. Elizabeth Callahan, SkinSmart Dermatology is a comprehensive dermatology practice that provides advanced medical and aesthetic skin care treatments. We have four certified, experienced medical practitioners to meet every skin care need or problem you may have.",Medical Practices,11-50 employees,Privately Held,"Sarasota, Florida",United States,sarasotadermatologist.com
Palm Beach Dermatology,Palm Beach Dermatology,https://www.linkedin.com/company/palmbeachdermatology,"Palm Beach Dermatology is a medical practice company based out of 4475 Medical Center Way Suite 1, West Palm Beach, FL, United States.",,"Palm Beach Dermatology is a medical practice company based out of 4475 Medical Center Way Suite 1, West Palm Beach, FL, United States.",Medical Practices,51-200 employees,Privately Held,"West Palm Beach, FL",United States,palmbeachdermatology.com
Siperstein Dermatology Group,Siperstein Dermatology Group,https://www.linkedin.com/company/siperstein-dermatology-group,"Siperstein Dermatology Group is a privately-owned, state-of-the-art dermatology practice comprised of 11 board certified dermatologists, a board certified facial plastic surgeon, two nurse practitioners, three physicians assistants and three laser technicians who pride themselves on providing the most up-to-date systems and technologies to treat all areas of dermatology including medical, surgical and cosmetic. The team offers skin checks for early skin cancer detection, skin cancer treatment with Mohs surgery and plastic surgery closures, and treats all skin conditions such as acne, rosacea, psoriasis, hair loss, and more. They also offer a full array of cosmetic treatments including state-of-the-art lasers for resurfacing wrinkles, removal of brown or red spots and unwanted hair, microneedling with radiofrequency and PRP, filler and Botox injections, and hydrafacials with dermaplaning.",,"Siperstein Dermatology Group is a privately-owned, state-of-the-art dermatology practice comprised of 11 board certified dermatologists, a board certified facial plastic surgeon, two nurse practitioners, three physicians assistants and three laser technicians who pride themselves on providing the most up-to-date systems and technologies to treat all areas of dermatology including medical, surgical and cosmetic. The team offers skin checks for early skin cancer detection, skin cancer treatment with Mohs surgery and plastic surgery closures, and treats all skin conditions such as acne, rosacea, psoriasis, hair loss, and more. They also offer a full array of cosmetic treatments including state-of-the-art lasers for resurfacing wrinkles, removal of brown or red spots and unwanted hair, microneedling with radiofrequency and PRP, filler and Botox injections, and hydrafacials with dermaplaning.",Medical Practices,51-200 employees,Privately Held,"Boca Raton, Florida",United States,sipderm.com
Hydrate Me Medspa,Hydrate Me Medspa,https://www.linkedin.com/company/hydrate-me-columbus,"Hydrate Me Medspa is Central Ohio’s leading destination for IV therapy, wellness, and advanced aesthetic treatments — helping you look, feel, and perform your best from the inside out.

With locations in Grandview, Dublin, Powell, and Granville, our medical team provides personalized care through a comprehensive range of services, including:

IV vitamin drips + booster injections
NAD+ and Ozone therapy
Aesthetic injectables (Botox®, fillers, Sculptra®)
Laser and skin rejuvenation (Moxi®, BBL®, RF Microneedling, and more)
Weight loss management (Semaglutide + Tirzepatide)
Hormone optimization and peptide therapy

We’re more than a medspa — we’re a wellness partner focused on empowering clients to achieve total vitality. Whether you’re looking to boost recovery, enhance energy, or rejuvenate your appearance, our expert providers and wellness coordinators deliver results-driven, customized care.

Our Mission:
To redefine modern wellness through safe, innovative, and medically-backed treatments that enhance both inner health and outer confidence.",,"Hydrate Me Medspa is Central Ohio’s leading destination for IV therapy, wellness, and advanced aesthetic treatments — helping you look, feel, and perform your best from the inside out.

With locations in Grandview, Dublin, Powell, and Granville, our medical team provides personalized care through a comprehensive range of services, including:

IV vitamin drips + booster injections
NAD+ and Ozone therapy
Aesthetic injectables (Botox, fillers, Sculptra)
Laser and skin rejuvenation (Moxi, BBL, RF Microneedling, and more)
Weight loss management (Semaglutide + Tirzepatide)
Hormone optimization and peptide therapy

We’re more than a medspa — we’re a wellness partner focused on empowering clients to achieve total vitality. Whether you’re looking to boost recovery, enhance energy, or rejuvenate your appearance, our expert providers and wellness coordinators deliver results-driven, customized care.

Our Mission:
To redefine modern wellness through safe, innovative, and medically-backed treatments that enhance both inner health and outer confidence.",Wellness and Fitness Services,51-200 employees,Privately Held,"Columbus, Ohio",United States,hydratememedspa.com
REN Dermatology,REN Dermatology,https://www.linkedin.com/company/ren-dermatology,REN Dermatology & Laser Center are comprehensive skin care centers located  in the greater Nashville area. Our mission is to provide patients with expert dermatologic care in a comfortable and welcoming office environment.,,REN Dermatology & Laser Center are comprehensive skin care centers located  in the greater Nashville area. Our mission is to provide patients with expert dermatologic care in a comfortable and welcoming office environment.,Medical Practices,11-50 employees,Privately Held,"Franklin, TN",United States,rendermatology.com
Elevate Medical Spa,Elevate Medical Spa,https://www.linkedin.com/company/elevatetpa,A boutique medical spa dedicated to providing a truly ELEVATED aesthetic experience. Our skilled providers - who are all NPs and PAs - combine artistry and medicine for natural results that promote skin health and inspire confidence.,,A boutique medical spa dedicated to providing a truly ELEVATED aesthetic experience. Our skilled providers - who are all NPs and PAs - combine artistry and medicine for natural results that promote skin health and inspire confidence.,Medical Practices,2-10 employees,Privately Held,"Tampa, FL",United States,elevatetpa.com
"Dr. Sarah Mess, Board Certified Plastic Surgeon","Dr. Sarah Mess, Board Certified Plastic Surgeon",https://www.linkedin.com/company/sarah-a-mess-md-llc,"Dr. Mess is the daughter of an orthopedic surgeon father and artist mother, who naturally inspired her approach to plastic surgery. Combining artistry with surgery, Dr. Mess has developed a unique practice tailored to the goals and concerns of her patients. Whether it’s more shapely breast, a slimmer waist, or a more youthful face, Dr. Mess’ surgical skills provide patients with exceptional, natural looking results. While many cosmetic and reconstructive patients seek out Dr. Mess solely for her surgical expertise, others come to Dr. Mess to avoid surgery.

Dr. Mess believes that while surgery is often the best answer, it is by no means the only answer. We live in an amazing age of aesthetic medical advances. Twenty years ago there was no Botox, no dermal filler, no CoolSculpting. Today non-invasive products and technologies are some of the fastest growing aesthetic procedures worldwide. Dr. Mess is constantly exploring the latest and best products and technologies to incorporate into her practice. She combines surgical expertise with the newest advances in non-invasive fat reduction, skin tightening technologies, lasers and fat transfer to offer the very best aesthetic results for both her surgical and non-surgical patients.

Born in Washington, D.C. and raised in Olney, Maryland, Dr. Mess has strong ties to the region. She is affiliated with the Howard County General Hospital in Columbia, Northwest Hospital in Randallstown, Johns Hopkins Hospital in Baltimore, and Montgomery General Hospital in Olney. She is a part-time instructor at Johns Hopkins and was named Plastic Surgery Section Chief at Howard County General in 2014.",,"Dr. Mess is the daughter of an orthopedic surgeon father and artist mother, who naturally inspired her approach to plastic surgery. Combining artistry with surgery, Dr. Mess has developed a unique practice tailored to the goals and concerns of her patients. Whether it’s more shapely breast, a slimmer waist, or a more youthful face, Dr. Mess’ surgical skills provide patients with exceptional, natural looking results. While many cosmetic and reconstructive patients seek out Dr. Mess solely for her surgical expertise, others come to Dr. Mess to avoid surgery.

Dr. Mess believes that while surgery is often the best answer, it is by no means the only answer. We live in an amazing age of aesthetic medical advances. Twenty years ago there was no Botox, no dermal filler, no CoolSculpting. Today non-invasive products and technologies are some of the fastest growing aesthetic procedures worldwide. Dr. Mess is constantly exploring the latest and best products and technologies to incorporate into her practice. She combines surgical expertise with the newest advances in non-invasive fat reduction, skin tightening technologies, lasers and fat transfer to offer the very best aesthetic results for both her surgical and non-surgical patients.

Born in Washington, D.C. and raised in Olney, Maryland, Dr. Mess has strong ties to the region. She is affiliated with the Howard County General Hospital in Columbia, Northwest Hospital in Randallstown, Johns Hopkins Hospital in Baltimore, and Montgomery General Hospital in Olney. She is a part-time instructor at Johns Hopkins and was named Plastic Surgery Section Chief at Howard County General in 2014.",Medical Practices,11-50 employees,Privately Held,"Columbia, Maryland",United States,sarahmessmd.com
